	H1_1	H1_2	H1_3	H1_4	H1_5	H1_6	H2_1	H2_2	H2_3	H2_4	H2_5	H2_6	H3_1	H3_2	H3_3	H3_4	H3_5	H3_6	BS1	BS2	BS3
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7;s__uncultured_soil	7	7	28	0	0	12	8	0	0	32	7	3	0	0	0	0	0	0	0	7	0
d__Bacteria;p__Acidobacteria;c__Subgroup_11;o__Subgroup_11;f__Subgroup_11;g__Subgroup_11;s__uncultured_bacterium	12	0	8	9	1	4	4	5	6	3	2	2	4	0	0	3	5	7	3	4	5
d__Bacteria;p__Acidobacteria;c__Subgroup_15;o__Subgroup_15;f__Subgroup_15;g__Subgroup_15;s__uncultured_bacterium	4	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_17;o__Subgroup_17;f__Subgroup_17;g__Subgroup_17;s__metagenome	8	0	5	0	6	5	6	0	0	0	5	0	2	6	0	0	0	9	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_17;o__Subgroup_17;f__Subgroup_17;g__Subgroup_17;s__unclassified_Subgroup_17	47	17	60	20	18	18	36	19	21	26	44	33	20	81	51	45	42	51	53	4	45
d__Bacteria;p__Acidobacteria;c__Subgroup_17;o__Subgroup_17;f__Subgroup_17;g__Subgroup_17;s__uncultured_Acidobacteria	0	3	11	8	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_17;o__Subgroup_17;f__Subgroup_17;g__Subgroup_17;s__uncultured_bacterium	11	25	10	8	0	6	5	0	0	11	2	18	31	8	5	6	21	0	0	16	0
d__Bacteria;p__Acidobacteria;c__Subgroup_17;o__Subgroup_17;f__Subgroup_17;g__Subgroup_17;s__uncultured_Holophaga	12	10	0	0	0	0	17	12	0	0	19	11	10	0	15	11	0	9	29	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_18;o__Subgroup_18;f__Subgroup_18;g__Subgroup_18;s__unclassified_Subgroup_18	0	0	0	7	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_18;o__Subgroup_18;f__Subgroup_18;g__Subgroup_18;s__uncultured_bacterium	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_20;o__Subgroup_20;f__Subgroup_20;g__Subgroup_20;s__uncultured_bacterium	5	0	0	0	0	0	2	0	0	3	4	0	0	0	2	0	4	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_21;o__Subgroup_21;f__Subgroup_21;g__Subgroup_21;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22;g__Subgroup_22;s__metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
d__Bacteria;p__Acidobacteria;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22;g__Subgroup_22;s__unclassified_Subgroup_22	6	0	6	6	0	7	23	16	6	9	0	4	0	6	11	0	0	2	4	38	0
d__Bacteria;p__Acidobacteria;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22;g__Subgroup_22;s__uncultured_Acidobacteria	6	0	11	6	5	0	0	11	10	8	8	12	7	5	10	0	9	0	7	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22;g__Subgroup_22;s__uncultured_Acidobacteriales	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22;g__Subgroup_22;s__uncultured_bacterium	13	22	21	10	28	31	27	31	19	19	10	22	6	25	11	10	12	12	19	6	12
d__Bacteria;p__Acidobacteria;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22;g__Subgroup_22;s__uncultured_proteobacterium	3	5	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_25;o__Subgroup_25;f__Subgroup_25;g__Subgroup_25;s__unclassified_Subgroup_25	18	2	0	0	8	0	0	0	0	12	15	0	0	1	14	0	2	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_25;o__Subgroup_25;f__Subgroup_25;g__Subgroup_25;s__uncultured_Acidobacteria	0	0	4	0	6	0	0	0	0	3	3	0	18	10	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_25;o__Subgroup_25;f__Subgroup_25;g__Subgroup_25;s__uncultured_bacterium	24	23	25	26	0	4	18	31	18	8	0	17	13	0	9	12	24	14	16	11	6
d__Bacteria;p__Acidobacteria;c__Subgroup_5;o__Subgroup_5;f__Subgroup_5;g__Subgroup_5;s__unclassified_Subgroup_5	0	0	9	0	0	0	0	13	22	0	0	0	0	0	0	0	5	16	4	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_5;o__Subgroup_5;f__Subgroup_5;g__Subgroup_5;s__uncultured_Acidobacteria	16	18	13	15	19	0	23	0	7	15	30	20	16	6	11	0	23	0	11	25	18
d__Bacteria;p__Acidobacteria;c__Subgroup_5;o__Subgroup_5;f__Subgroup_5;g__Subgroup_5;s__uncultured_bacterium	7	0	0	0	0	0	0	0	0	0	11	0	0	10	8	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__Acidobacteria_bacterium	46	54	43	32	50	25	63	49	35	32	47	39	56	64	68	54	52	28	51	77	63
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__metagenome	17	13	13	0	13	30	21	13	5	11	20	12	25	49	6	20	20	34	16	17	20
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__unclassified_Subgroup_6	914	874	922	924	788	845	855	707	768	974	766	878	1087	881	981	959	962	1040	937	927	939
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__uncultured_Acidobacteria	81	43	47	88	67	72	100	71	35	81	57	53	49	92	55	47	49	31	42	36	41
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__uncultured_Acidobacteriaceae	95	47	72	96	95	96	42	59	74	68	114	99	92	42	104	71	77	73	68	65	60
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__uncultured_Acidobacteriales	39	23	31	35	17	16	5	10	39	38	17	22	23	11	56	13	30	18	25	8	12
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__uncultured_Acidobacterium	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__uncultured_bacterium	55	59	58	64	28	35	0	23	18	32	18	34	55	0	10	65	52	21	8	23	50
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__uncultured_beta	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__uncultured_Geothrix	22	10	10	0	0	10	13	12	0	0	0	10	11	8	10	9	9	12	10	7	0
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__uncultured_organism	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Subgroup_6;f__Subgroup_6;g__Subgroup_6;s__uncultured_proteobacterium	0	0	6	9	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__unclassified_Subgroup_6;f__unclassified_Subgroup_6;g__unclassified_Subgroup_6;s__unclassified_Subgroup_6	0	0	1	0	1	0	4	0	0	0	0	0	5	0	0	3	0	2	8	13	1
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Unknown_Order;f__Unknown_Family;g__Vicinamibacter;s__Acidobacteria_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Unknown_Order;f__Unknown_Family;g__Vicinamibacter;s__unclassified_Vicinamibacter	0	5	8	6	0	1	0	0	0	0	0	10	0	0	0	11	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Subgroup_6;o__Unknown_Order;f__Unknown_Family;g__Vicinamibacter;s__uncultured_bacterium	12	0	0	0	0	4	0	5	0	9	0	0	0	0	0	0	0	7	0	0	0
