	H1_1	H1_2	H1_3	H1_4	H1_5	H1_6	H2_1	H2_2	H2_3	H2_4	H2_5	H2_6	H3_1	H3_2	H3_3	H3_4	H3_5	H3_6	BS1	BS2	BS3
ASV_248	21	0	0	0	0	23	12	29	20	29	0	10	0	0	0	0	0	0	22	0	35
ASV_249	21	16	0	18	21	18	0	0	0	11	0	12	0	0	5	23	0	0	7	0	21
ASV_250	0	12	17	0	9	12	13	9	0	0	13	12	18	14	17	14	15	18	9	0	17
ASV_251	9	1	0	24	5	6	21	30	22	21	0	7	0	0	30	0	0	28	17	36	14
ASV_252	18	16	21	35	0	0	0	8	12	5	0	5	10	0	4	24	36	11	6	14	11
ASV_253	0	10	15	9	0	12	0	0	0	14	15	17	15	0	14	28	9	18	16	0	0
ASV_254	12	20	15	0	13	17	17	12	14	14	10	0	0	0	0	0	0	0	0	10	10
ASV_255	36	0	0	0	35	0	0	19	0	0	0	0	0	32	30	0	0	0	0	0	16
ASV_256	9	0	21	8	0	12	3	35	12	13	15	18	0	3	13	6	10	6	34	4	0
ASV_257	0	20	0	23	0	7	12	0	20	18	0	0	0	0	7	13	14	0	14	0	34
ASV_258	13	0	0	0	0	0	0	0	0	0	0	0	24	0	0	13	0	0	19	37	37
ASV_259	0	18	7	13	13	21	0	16	9	13	26	0	0	0	10	26	0	0	30	0	0
ASV_260	22	7	15	0	0	0	0	0	9	14	16	0	0	15	0	0	8	18	13	7	13
ASV_261	14	15	3	5	10	3	5	1	7	8	2	3	7	2	13	12	8	11	13	6	10
ASV_262	18	6	7	12	5	5	7	3	5	20	12	6	6	7	9	0	3	9	0	10	4
ASV_263	0	10	10	15	11	0	8	9	10	17	6	13	18	0	10	10	0	11	0	15	8
ASV_264	0	19	0	34	0	18	19	0	0	0	0	29	0	0	0	42	0	0	0	32	0
ASV_265	14	0	0	0	13	14	22	0	7	0	0	0	21	0	0	0	0	15	0	0	19
ASV_266	14	0	0	15	0	0	0	0	11	8	0	16	21	0	0	24	24	0	0	16	21
ASV_267	11	0	8	10	29	7	0	8	11	0	0	4	0	4	4	14	0	4	23	0	0
ASV_268	0	19	20	0	0	24	16	8	17	14	18	0	0	0	25	26	0	14	18	0	31
ASV_269	5	6	0	10	5	8	5	11	0	10	10	5	7	7	7	11	7	10	12	4	4
ASV_270	0	0	13	0	19	18	8	0	7	6	0	4	0	10	0	0	0	13	9	9	19
ASV_271	14	5	0	0	13	0	17	6	0	6	16	12	0	52	0	0	0	22	12	0	0
ASV_272	13	0	12	0	10	18	11	0	4	0	0	0	5	28	19	0	0	20	12	14	14
ASV_273	0	10	12	18	0	0	0	19	19	8	0	13	0	5	0	0	26	0	18	18	13
ASV_274	14	10	8	0	0	10	8	4	10	10	0	13	9	0	0	18	0	0	9	21	24
ASV_275	4	0	9	12	13	9	4	14	13	13	11	46	0	0	10	0	15	13	15	6	16
ASV_276	20	0	5	18	20	0	18	26	14	18	0	0	0	0	0	0	0	9	0	0	0
ASV_277	17	2	18	0	9	5	5	14	10	13	10	13	7	6	6	8	6	8	15	0	0
ASV_278	5	0	15	10	16	21	0	0	10	13	0	8	0	0	23	0	0	14	22	8	9
ASV_279	13	16	8	0	0	0	0	10	19	17	8	20	0	0	8	12	14	0	0	13	12
ASV_280	0	0	0	0	0	13	0	0	0	25	45	0	0	18	12	0	0	25	13	0	0
ASV_281	26	19	0	0	0	0	0	0	0	0	0	18	33	0	0	0	37	0	22	0	0
ASV_282	24	12	0	21	0	0	0	12	15	0	0	10	12	0	0	0	17	0	0	0	15
ASV_283	9	0	0	15	0	0	24	0	0	15	0	0	22	0	0	29	0	0	0	35	23
ASV_284	8	0	12	20	0	0	0	13	23	0	0	0	8	0	0	0	16	26	7	25	19
ASV_285	0	0	17	0	0	0	0	0	0	0	0	11	17	0	0	0	36	0	0	25	0
ASV_286	4	21	13	9	12	10	13	14	0	7	0	9	10	0	0	15	7	8	11	0	7
ASV_287	0	0	5	19	0	4	13	11	0	23	8	7	8	0	0	12	10	7	0	14	10
ASV_288	10	13	8	6	0	0	0	10	10	10	0	8	11	0	12	22	8	0	0	0	0
ASV_289	8	7	15	0	7	7	8	13	11	6	16	8	7	4	14	21	8	9	15	6	9
